"Name","X_Coord","Y_Coord"
0,-157.754630055999,21.311811366
1,-157.754571983,21.311842551
2,-157.754512602999,21.311887272
3,-157.754301196999,21.311930878
4,-157.754130881,21.311997362
5,-157.753931313999,21.312208177
6,-157.753889896999,21.312271109
7,-157.753837441,21.312347498
8,-157.753813780999,21.312442178
9,-157.753790379999,21.312491694
10,-157.753748526999,21.312595262
11,-157.753725960999,21.312694471
12,-157.753701648999,21.312739459
13,-157.753636994,21.31297385
14,-157.753572353999,21.313199208
15,-157.753548945,21.313253241
16,-157.75347933,21.313379188
17,-157.753343395999,21.313635636
18,-157.753184879999,21.314000325
19,-157.753161234999,21.314085972
20,-157.753132615999,21.314180613
21,-157.753138283999,21.31452393
22,-157.752961965999,21.314992373
23,-157.752933103999,21.315123144
24,-157.752896880999,21.315262893
25,-157.752803109,21.315668713
26,-157.752738614,21.316025056
27,-157.752727485,21.316201135
28,-157.752709646,21.316327471
29,-157.752709815999,21.316444907
30,-157.752698051,21.316562262
31,-157.752674751999,21.317316388
32,-157.752633755,21.317456109
33,-157.752604010999,21.317564285
34,-157.752556962,21.317699449
35,-157.752498812999,21.317884201
36,-157.752415791,21.318010053
37,-157.752280981,21.318140043
38,-157.752133847,21.318283488
39,-157.751787597999,21.318470618
40,-157.751682058999,21.318555649
41,-157.751523654,21.318631257
42,-157.751405987999,21.318720721
43,-157.751246917,21.318864073
44,-157.751169981999,21.31897191
45,-157.751141553999,21.319062034
46,-157.751135043,21.319111672
47,-157.751123498999,21.319206434
48,-157.751059547,21.319345981
49,-157.751035011999,21.31941355
50,-157.75100555,21.319463014
51,-157.750982107999,21.319535112
52,-157.750970609,21.319602777
53,-157.750894730999,21.319737714
54,-157.750806901,21.319881601
55,-157.750794331999,21.319931198
56,-157.750712378,21.320075127
57,-157.750582737,21.320295483
58,-157.750418209,21.320515583
59,-157.750171778999,21.320739581
60,-157.750119119,21.320825013
61,-157.749977787,21.321009145
62,-157.749954352999,21.321076726
63,-157.749848377,21.321202412
64,-157.754630055999,21.311811366
65,-157.754648175999,21.311956035
66,-157.754677402999,21.312046588
67,-157.754718072999,21.312101092
68,-157.754818561999,21.31217862
69,-157.754924858,21.312296847
70,-157.754988311,21.312342491
71,-157.755047004999,21.312379053
72,-157.755258819999,21.312421279
73,-157.755411529,21.312454031
74,-157.755547307999,21.312509233
75,-157.755605766,21.31257742
76,-157.755618314999,21.312649786
77,-157.755635987,21.312844134
78,-157.755635560999,21.313322913
79,-157.75558282,21.313570947
80,-157.755541819999,21.313715184
81,-157.755523968,21.313850553
82,-157.755518523999,21.313922785
83,-157.755430020999,21.314256374
84,-157.755436244999,21.314378367
85,-157.755477584,21.31447353
86,-157.755489259999,21.314518787
87,-157.755559772999,21.314736117
88,-157.755982495,21.315484518
89,-157.756041568999,21.315624977
90,-157.756053852999,21.315747024
91,-157.756041893,21.315873411
92,-157.75599507,21.316428631
93,-157.756024717999,21.31648757
94,-157.756159609999,21.316637614
95,-157.756200705999,21.316768907
96,-157.756218179999,21.316972299
97,-157.756183246,21.317112061
98,-157.75615983,21.3171706
99,-157.75594853,21.317367776
100,-157.755871554999,21.317502714
101,-157.755841836,21.317597342
102,-157.755836571999,21.317782495
103,-157.755824802,21.317904366
104,-157.755753709999,21.318034818
105,-157.755565791,21.318304439
106,-157.755518942,21.318430561
107,-157.755496133,21.3185659
108,-157.755266943999,21.319029428
109,-157.755195844,21.319164407
110,-157.755184302,21.319259169
111,-157.755026278999,21.319547082
112,-157.755019960999,21.319592205
113,-157.754973355999,21.319682195
114,-157.754925877999,21.319745075
115,-157.754761828999,21.31990195
116,-157.754555310999,21.320090119
117,-157.754373283,21.320237828
118,-157.753979980999,21.320451712
119,-157.753833702999,21.320631302
120,-157.753451731,21.32120662
121,-157.753369179999,21.321269233
122,-157.753245865999,21.321331559
123,-157.753034602,21.321501632
124,-157.752952028,21.321577805
125,-157.752864245,21.321694585
126,-157.752840795999,21.321771199
127,-157.752782032999,21.321883677
128,-157.752752554,21.321942175
129,-157.752670386,21.322104168
130,-157.752641122,21.322144611
131,-157.752535120999,21.322283838
132,-157.752482431,21.322387334
133,-157.752428906,21.32244114
134,-157.752341312999,21.322553402
135,-157.752234883,21.32272877
136,-157.752134971,21.322849983
137,-157.752082739,21.322899273
138,-157.751964794,21.323042934
139,-157.751912339999,21.323114817
140,-157.751882869,21.323168797
141,-157.751865524,21.323218354
142,-157.751800233,21.323389502
143,-157.751559329,21.323816811
144,-157.751494763,21.323884084
145,-157.751259420999,21.324063001
146,-157.751224288,21.324098876
147,-157.751141741999,21.324156981
148,-157.751089486,21.324219831
149,-157.751007773999,21.324327618
150,-157.750989328,21.324377174
151,-157.750942274,21.324512326
152,-157.750877882999,21.324584115
153,-157.750837095999,21.32470576
154,-157.750666983999,21.324858073
155,-157.750531324,21.324942874
156,-157.750272360999,21.325080968
157,-157.750172905999,21.325147983
158,-157.750137588,21.325183857
159,-157.749867341999,21.325371548
160,-157.749679719,21.325455969
161,-157.752571759999,21.30625848
162,-157.752413531,21.306456043
163,-157.752366308,21.306478274
164,-157.752330988,21.306518665
165,-157.752225909,21.306554017
166,-157.752108039,21.306661546
167,-157.752008339,21.306773727
168,-157.751966479,21.306881811
169,-157.751955618,21.30700821
170,-157.751938031,21.307093899
171,-157.751896458,21.307468482
172,-157.751872582999,21.307581227
173,-157.751867129,21.307657965
174,-157.751844333,21.307784272
175,-157.751773211999,21.307932798
176,-157.751691074999,21.308081244
177,-157.751508355999,21.308319275
178,-157.751503122999,21.308373442
179,-157.751168656999,21.308881349
180,-157.750522308999,21.309784425
181,-157.750405231,21.309964228
182,-157.750274757999,21.310139408
183,-157.750134758999,21.310300971
184,-157.749952525999,21.310466739
185,-157.749817081999,21.310542508
186,-157.749687306999,21.310631887
187,-157.74928825,21.310791511
188,-157.749141774999,21.310876242
189,-157.749100586999,21.310912074
